baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id
80.90409366,-0.0285928,0.33631428,-0.085018095,0.932247005,1,ENSG00000000003.14
0.15560369,0,7.066282421,0,1,1,ENSG00000000005.5
30.78648505,-0.055178779,0.509703743,-0.108256569,0.913792173,1,ENSG00000000419.12
106.2792735,-0.225020167,0.290013326,-0.775895958,0.437810419,1,ENSG00000000457.13
55.17749468,0.342341134,0.381473689,0.897417422,0.36949622,1,ENSG00000000460.16
0.385206901,-2.337591096,5.327604235,-0.43876966,0.660828447,1,ENSG00000000938.12
6.547197375,1.013086433,1.181815297,0.857229074,0.391318297,1,ENSG00000000971.15
104.4058578,-0.126835704,0.281015859,-0.45134714,0.651739374,1,ENSG00000001036.13
487.0675947,0.091678365,0.155201643,0.590704861,0.55471819,1,ENSG00000001084.12
42.31004373,-0.204547641,0.446046803,-0.458578874,0.64653661,1,ENSG00000001167.14
71.27605181,0.151540028,0.339247176,0.44669503,0.655095271,1,ENSG00000001460.17
46.29958709,-0.045717834,0.458876125,-0.099630013,0.920638066,1,ENSG00000001461.16
199.0726761,-0.069605447,0.22727814,-0.306256674,0.759409224,1,ENSG00000001497.16
3.237148028,-2.337843155,2.371636564,-0.985751017,0.324255308,1,ENSG00000001561.6
47.62452858,-0.104549086,0.420428262,-0.24867283,0.803613867,1,ENSG00000001617.11
2.330367461,-1.895107232,1.958630865,-0.967567328,0.333260501,1,ENSG00000001626.15
143.2075592,0.131676868,0.268102088,0.491144508,0.623324244,1,ENSG00000001629.9
121.8763477,-0.210468002,0.276322269,-0.76167586,0.446253486,1,ENSG00000001630.16
131.0419059,-0.188360646,0.275850881,-0.682835036,0.494711088,1,ENSG00000001631.15
349.3890423,-0.102889487,0.176330743,-0.583502826,0.559554855,1,ENSG00000002016.17
36.52018164,-0.420090753,0.519396257,-0.808805891,0.418626807,1,ENSG00000002079.14
273.655742,0.002852305,0.218780051,0.013037317,0.989598021,1,ENSG00000002330.13
41.78663551,0.209999806,0.458387536,0.458127216,0.646861047,1,ENSG00000002549.12
221.7802079,-0.283889743,0.22050612,-1.287446092,0.197938848,1,ENSG00000002586.19
0,NA,NA,NA,NA,NA,ENSG00000002586.19_PAR_Y
91.14751898,0.210648666,0.316249878,0.666082997,0.505358052,1,ENSG00000002587.9
1.98929292,0.433949701,2.074827633,0.20914976,0.834331331,1,ENSG00000002726.20
6.833951716,-0.159254748,1.131017016,-0.140806678,0.888022668,1,ENSG00000002745.12
198.1546204,-0.075233302,0.215278788,-0.349469184,0.726737102,1,ENSG00000002746.14
248.0267589,0.199457666,0.210987553,0.94535276,0.344478811,1,ENSG00000002822.15
652.990004,0.25256634,0.148378443,1.702176777,0.088722235,1,ENSG00000002834.17
114.1013236,-0.1272569,0.302063461,-0.421291936,0.673541918,1,ENSG00000002919.14
0.408718586,-2.482570164,5.07987899,-0.488706555,0.625049462,1,ENSG00000002933.8
140.1326818,-0.202872748,0.252287683,-0.804132589,0.421320405,1,ENSG00000003056.7
29.50854045,0.056866255,0.53509583,0.106273029,0.91536573,1,ENSG00000003096.14
116.5856008,0.020689459,0.271213798,0.076284684,0.939192611,1,ENSG00000003137.8
15.27738821,0.022810001,0.70368735,0.032414965,0.974141129,1,ENSG00000003147.18
144.7494618,0.02913386,0.261964287,0.1112131,0.911447364,1,ENSG00000003249.13
75.86208658,-0.13685838,0.3331882,-0.410753982,0.68125294,1,ENSG00000003393.14
