baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id
80.90409366,-0.070506881,0.335770905,-0.209985081,0.833679317,NA,ENSG00000000003.14
0.15560369,0,7.066282421,0,1,NA,ENSG00000000005.5
30.78648505,0.059463624,0.505872161,0.117546742,0.906426806,NA,ENSG00000000419.12
106.2792735,-0.549501691,0.293013741,-1.875344443,0.060745353,0.319003606,ENSG00000000457.13
55.17749468,0.260259161,0.381479587,0.68223614,0.495089646,NA,ENSG00000000460.16
0.385206901,0.988759933,5.180305519,0.190869038,0.848628198,NA,ENSG00000000938.12
6.547197375,0.933226846,1.181738273,0.789706881,0.429698972,NA,ENSG00000000971.15
104.4058578,-0.405092095,0.283540975,-1.428689788,0.153093414,0.505509178,ENSG00000001036.13
487.0675947,0.46127374,0.153133286,3.012236935,0.002593301,0.044896205,ENSG00000001084.12
42.31004373,0.438542745,0.432879844,1.013081922,0.311021032,NA,ENSG00000001167.14
71.27605181,0.180557118,0.337801392,0.534506731,0.592990994,NA,ENSG00000001460.17
46.29958709,0.22059074,0.453949321,0.485936931,0.627011883,NA,ENSG00000001461.16
199.0726761,-0.133133521,0.227137924,-0.58613515,0.557784697,0.846864016,ENSG00000001497.16
3.237148028,2.830951078,1.921456849,1.473335755,0.140660524,NA,ENSG00000001561.6
47.62452858,-0.003881736,0.417147446,-0.009305428,0.992575449,NA,ENSG00000001617.11
2.330367461,-0.192460198,1.760038199,-0.109350012,0.912924881,NA,ENSG00000001626.15
143.2075592,-0.068876943,0.269131116,-0.255923374,0.798010006,0.941648839,ENSG00000001629.9
121.8763477,-0.142273734,0.274828352,-0.517682157,0.60468005,0.868918169,ENSG00000001630.16
131.0419059,0.235456338,0.270893172,0.869185209,0.384745836,0.743998831,ENSG00000001631.15
349.3890423,-0.313918938,0.177109851,-1.772453287,0.076319343,0.359639599,ENSG00000002016.17
36.52018164,-0.093833362,0.512103997,-0.183231067,0.854616719,NA,ENSG00000002079.14
273.655742,0.40297756,0.21641686,1.862043286,0.062596989,0.322668164,ENSG00000002330.13
41.78663551,0.253763009,0.456185571,0.556271451,0.578025301,NA,ENSG00000002549.12
221.7802079,-0.372401311,0.220563537,-1.688408325,0.091332874,0.39394787,ENSG00000002586.19
