baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id
80.90409366,-0.097246978,0.338320865,-0.287440085,0.773775372,0.964947965,ENSG00000000003.14
0.15560369,0,7.066282421,0,1,NA,ENSG00000000005.5
30.78648505,-0.012306856,0.510279555,-0.02411787,0.98075859,NA,ENSG00000000419.12
106.2792735,-0.20494806,0.290599412,-0.705259722,0.480648621,0.887393742,ENSG00000000457.13
55.17749468,0.10766458,0.38629447,0.278711159,0.780466498,NA,ENSG00000000460.16
0.385206901,-2.270086441,5.327604235,-0.426098926,0.670035763,NA,ENSG00000000938.12
6.547197375,1.217651433,1.176598383,1.034891303,0.300719677,NA,ENSG00000000971.15
104.4058578,-0.22421704,0.283142594,-0.791887355,0.428426361,0.864096614,ENSG00000001036.13
487.0675947,0.562175201,0.153344166,3.666101002,0.000246277,0.012006129,ENSG00000001084.12
42.31004373,0.298527063,0.437449668,0.682426082,0.494969568,NA,ENSG00000001167.14
71.27605181,0.129188129,0.340537063,0.379365841,0.704416213,0.952524925,ENSG00000001460.17
46.29958709,-0.303631085,0.464688002,-0.653408488,0.513492968,NA,ENSG00000001461.16
199.0726761,-0.175200037,0.228747835,-0.765909049,0.443730421,0.871746139,ENSG00000001497.16
3.237148028,1.441848548,1.993783148,0.723172201,0.469574095,NA,ENSG00000001561.6
47.62452858,0.402495743,0.413187798,0.974123014,0.329995464,NA,ENSG00000001617.11
2.330367461,0.247899118,1.744499487,0.142103291,0.886998419,NA,ENSG00000001626.15
143.2075592,0.04357793,0.269498839,0.161699878,0.8715422,0.981910123,ENSG00000001629.9
121.8763477,-0.203689557,0.277006915,-0.735323003,0.462142802,0.881066738,ENSG00000001630.16
131.0419059,-0.169866233,0.276457016,-0.614439943,0.538924648,0.904087501,ENSG00000001631.15
349.3890423,-0.097145034,0.176717859,-0.549718259,0.582512631,0.91766798,ENSG00000002016.17
36.52018164,-0.761790284,0.529014112,-1.440018834,0.149862071,NA,ENSG00000002079.14
273.655742,0.30239753,0.217572704,1.389868878,0.164568698,0.676792502,ENSG00000002330.13
41.78663551,0.138198202,0.461101251,0.299713354,0.764395812,NA,ENSG00000002549.12
221.7802079,-0.215486476,0.220528023,-0.977138748,0.328500467,0.818722018,ENSG00000002586.19
0,NA,NA,NA,NA,NA,ENSG00000002586.19_PAR_Y
91.14751898,0.220503042,0.317067957,0.695444106,0.486777028,0.88990547,ENSG00000002587.9
1.98929292,0.175099281,2.100244931,0.083370886,0.933556638,NA,ENSG00000002726.20
6.833951716,0.697079208,1.091662568,0.638548237,0.523116865,NA,ENSG00000002745.12
198.1546204,-0.265998833,0.217665238,-1.222054723,0.221686933,0.736738623,ENSG00000002746.14
248.0267589,0.124590664,0.211898075,0.587974496,0.556549412,0.911463403,ENSG00000002822.15
652.990004,0.155195294,0.14897058,1.04178485,0.29751144,0.793690749,ENSG00000002834.17
114.1013236,-0.104153008,0.302571989,-0.344225545,0.730676673,0.955284743,ENSG00000002919.14
0.408718586,-2.30338268,5.06241208,-0.454997073,0.649111344,NA,ENSG00000002933.8
140.1326818,-0.087306513,0.251838099,-0.346677144,0.728833883,0.955284743,ENSG00000003056.7
29.50854045,0.231508734,0.532749868,0.434554278,0.663885988,NA,ENSG00000003096.14
116.5856008,-0.317810834,0.276201348,-1.150649107,0.249876622,0.759823437,ENSG00000003137.8
15.27738821,0.175124529,0.701278267,0.249721882,0.802802435,NA,ENSG00000003147.18
144.7494618,0.51311035,0.258376871,1.985898925,0.047044548,0.397179382,ENSG00000003249.13
75.86208658,-0.227843547,0.335498796,-0.679118822,0.497062577,0.894368834,ENSG00000003393.14
32.7662815,0.085739483,0.483790345,0.17722446,0.859332083,NA,ENSG00000003400.14
1006.037198,0.005569652,0.134694761,0.041350175,0.967016734,0.996766212,ENSG00000003402.19
426.5961593,-0.608159921,0.182540942,-3.331635703,0.000863372,0.031967334,ENSG00000003436.15
106.1642063,-0.067318559,0.287608718,-0.234062999,0.814936071,0.973214501,ENSG00000003509.15
153.3469252,0.373904398,0.271274474,1.378325034,0.168102957,0.681189738,ENSG00000003756.16
65.04700675,-0.734595854,0.36584259,-2.007956081,0.044647959,0.384685456,ENSG00000003987.13
5.366502523,0.135884382,1.217036906,0.111651817,0.911099485,NA,ENSG00000003989.17
82.97294429,0.090808223,0.328500332,0.276432667,0.782215769,0.967627979,ENSG00000004059.10
407.0201146,0.205772618,0.180603254,1.139362739,0.25455189,0.761169944,ENSG00000004139.13
293.3395752,0.127961914,0.18518723,0.690986705,0.489573896,0.88990547,ENSG00000004142.11
448.6427193,-0.139505853,0.16766147,-0.832068648,0.405370197,0.851314984,ENSG00000004399.12
65.51410415,0.175722556,0.364563952,0.482007491,0.629800625,0.933373588,ENSG00000004455.16
36.00079412,-0.558493068,0.49779575,-1.121932173,0.26189128,NA,ENSG00000004468.12
262.611238,0.633061447,0.191442845,3.306790853,0.000943713,0.034051818,ENSG00000004478.7
211.3979175,0.001588402,0.227989437,0.006966997,0.994441186,0.999189943,ENSG00000004487.16
191.2773809,-0.037368092,0.230646075,-0.162014864,0.871294149,0.981910123,ENSG00000004534.14
330.1040973,-0.252084143,0.195347964,-1.290436504,0.196899145,0.711832481,ENSG00000004660.14
