baseMean,log2FoldChange,lfcSE,pvalue,padj,Symbol
515.3858344,1.983778331,0.099121236,3.29E-90,5.82E-86,ABCA1
750.8372626,-1.847110708,0.100136198,4.81E-77,4.25E-73,CIT
829.0859595,-1.811988354,0.100986315,7.04E-73,4.15E-69,WDR62
694.9331808,-1.8577824,0.106618968,4.51E-69,2.00E-65,LOC100288637
490.7613294,-1.984364846,0.11692038,1.21E-65,4.28E-62,KIF18B
487.9851199,-2.012184677,0.119731433,1.24E-64,3.66E-61,DIAPH3
683.8121677,-1.801343169,0.111923598,8.81E-60,2.23E-56,HJURP
512.1887467,-1.848837215,0.119422212,2.39E-55,5.27E-52,MCM5
240.2762293,2.297452712,0.152128577,1.30E-52,2.55E-49,SULF2
502.5026388,-1.805565574,0.11971503,2.44E-52,4.32E-49,POLE
330.2060702,1.834519042,0.122536724,8.25E-52,1.33E-48,NABP1-OT1
422.0054306,-1.849454574,0.124699419,8.51E-51,1.25E-47,TICRR
479.9429851,-1.816881651,0.125107412,7.25E-49,9.86E-46,FANCI
369.406084,-2.011775816,0.139919384,6.12E-48,7.72E-45,POLQ
466.4868406,-2.004711218,0.139558256,8.67E-48,1.02E-44,ATAD2
2325.514674,0.977951455,0.068297047,2.10E-47,2.32E-44,BCL2L1
420.4483871,-1.79319458,0.126516722,1.50E-46,1.55E-43,NCAPG2
821.3754401,-1.139011919,0.080807114,3.38E-46,3.32E-43,PMEPA1
446.7536756,1.907309181,0.135648647,7.30E-46,6.79E-43,MAP2
213.1831482,2.360128584,0.170491054,1.11E-44,9.80E-42,KCNQ3
505.2544135,1.378614572,0.100959213,1.82E-43,1.53E-40,MBD5
474.6294531,1.511936023,0.111005756,2.99E-43,2.40E-40,FBN2
532.6675411,-1.815346046,0.13381128,5.44E-43,4.18E-40,MELK
613.1184507,-1.670973911,0.123569049,6.76E-43,4.98E-40,FANCA
275.5569031,-2.310239196,0.170812109,8.74E-43,6.18E-40,MYBL2
550.7514759,1.314241283,0.097276081,1.31E-42,8.90E-40,PURPL
313.0558232,-1.94890946,0.146242294,1.97E-41,1.29E-38,NCAPH
321.0133334,-2.117798009,0.159709304,2.91E-41,1.84E-38,TK1
627.5444316,1.781309877,0.134324385,3.17E-41,1.93E-38,CDKN1A
366.1167345,-1.795346114,0.135600491,4.60E-41,2.71E-38,CENPM
215.8711181,2.323376707,0.176918792,2.00E-40,1.14E-37,CYP3A5
409.8462405,-1.831499487,0.139868318,2.74E-40,1.52E-37,LMNB1
1617.152144,0.998521974,0.076074086,3.79E-40,2.03E-37,GLS
581.5075326,-1.279490758,0.098017952,5.43E-40,2.82E-37,ST6GAL2
94.06501534,3.660917824,0.281422674,1.45E-39,7.34E-37,FBXW10
1493.59564,1.866342451,0.144296435,2.13E-39,1.05E-36,MDM2
325.2228245,-1.963735856,0.151952121,2.46E-39,1.18E-36,KIF4A
296.3723951,-2.016688721,0.156103975,3.10E-39,1.44E-36,BLM
488.6134185,-1.510142191,0.116896641,3.40E-39,1.54E-36,BRIP1
382.907507,1.653605199,0.130152085,4.81E-38,2.13E-35,SPATA6L
466.5211061,-1.619737529,0.128608616,1.93E-37,8.31E-35,KNTC1
187.495272,2.379655181,0.19012347,7.13E-37,3.00E-34,ABCG1
537.5946117,-1.627180267,0.130772964,1.20E-36,4.93E-34,CEP128
322.5813654,-1.890443944,0.152276918,2.11E-36,8.48E-34,PRR11
249.7794331,1.884956701,0.15306891,6.08E-36,2.39E-33,TM4SF20
284.0266865,-1.990450213,0.162118261,1.08E-35,4.17E-33,ESPL1
364.8159041,1.894425916,0.1561811,2.90E-35,1.09E-32,CDRT1
443.4595663,-1.440695087,0.118394919,3.47E-35,1.28E-32,RTTN
235.808249,-2.097228362,0.172398524,4.87E-35,1.76E-32,FOXM1
555.39018,-1.325330552,0.108863579,5.64E-35,1.99E-32,ECT2
743.7059052,1.323412107,0.109621086,1.35E-34,4.67E-32,AKR1B1
434.6637756,-1.939662745,0.161501133,1.85E-34,6.29E-32,MIR924HG
186.0771209,1.835097942,0.155195191,2.24E-33,7.49E-31,LINC02532
484.4417353,-1.308206128,0.111668909,9.55E-33,3.13E-30,DNMT1
374.3701396,-1.513397151,0.129690111,1.42E-32,4.56E-30,CHAF1A
242.5590633,-1.834294358,0.156938613,1.45E-32,4.56E-30,MCM10
323.6851897,-1.629511195,0.14015391,2.60E-32,8.07E-30,CENPK
292.9882404,-1.634796299,0.141257555,3.73E-32,1.14E-29,UHRF1
211.2653983,1.74771587,0.151384895,6.96E-32,2.08E-29,LOC101929555
300.2229975,-1.594186308,0.138173466,7.65E-32,2.22E-29,XRCC3
594.2251031,-1.185414582,0.102625428,7.59E-32,2.22E-29,TCOF1
370.0039746,-1.574928674,0.136683372,7.97E-32,2.27E-29,CCNF
279.0830143,-1.68834665,0.147036777,1.38E-31,3.87E-29,NEIL3
1431.815517,1.161247246,0.101044501,1.47E-31,4.05E-29,ALDH3A1
801.0633116,-0.985125633,0.085296823,1.56E-31,4.24E-29,NSD2
222.5020755,-1.907977781,0.166703039,2.23E-31,5.97E-29,BIRC5
979.3032273,-1.028461105,0.090124124,3.13E-31,8.25E-29,WNT7B
406.0559441,-1.434112507,0.125918414,4.93E-31,1.28E-28,CEP72
807.3940193,-1.122278383,0.099636694,1.61E-30,4.12E-28,CDK5RAP2
270.860496,-1.814839806,0.161461877,2.36E-30,5.95E-28,E2F1
743.3495275,-1.25378328,0.111654176,2.76E-30,6.88E-28,POLA1
243.5353631,1.689863318,0.151340899,4.51E-30,1.11E-27,CDH1
207.5185763,-2.403280724,0.21572556,6.84E-30,1.66E-27,AURKB
306.1236906,-1.567571829,0.140978764,7.21E-30,1.72E-27,KIF22
237.7815326,-1.954598385,0.17617718,9.12E-30,2.15E-27,CDCA5
407.0707134,-1.452012824,0.13037068,1.10E-29,2.55E-27,RBL1
3423.0351,-0.677281751,0.060909482,1.83E-29,4.21E-27,DOCK5
