Control1_REP1	Control1_REP2	Control2_REP1	Control2_REP2	15m_REP1	15m_REP2	3hr_REP1	3hr_REP2	2days_REP1	2days_REP2	4days_REP1	4days_REP2	7days_REP1	7days_REP2	GeneSymbol
18.05198772	21.30012604	23.48212416	18.66297305	26.31249431	27.67606975	40.37100534	38.01417673	47.02727536	63.77733792	113.7605165	106.7971269	57.43207239	54.62300254	A1BG
79.66917298	79.72282848	88.28451686	79.10115385	71.31853642	93.27307547	98.85404024	104.9703306	78.99732893	88.66295897	113.2941191	109.2338532	79.37488919	91.81881844	A1BG-AS1
21.03669376	18.77262976	20.99520787	24.20326402	21.64817481	24.74076167	25.41354819	21.31668253	23.54026789	20.08259932	22.64466712	26.54222588	16.81202242	21.20676699	A4GALT
47.48992229	42.99600995	45.69029972	48.82782411	54.62589038	49.11250274	50.26646306	43.63234911	51.41950716	36.58916749	36.75286244	32.77802547	29.22366358	38.95354277	AAAS
26.60167707	27.48129433	30.3726205	31.31545234	31.17051303	31.30752984	28.54262875	28.80369131	30.17555145	23.58973427	36.14929812	31.57157604	29.54371741	31.14345036	AACS
17.13932475	12.6218507	17.66767815	14.02623728	15.07288026	16.18957217	27.64864358	26.42871505	38.89089905	26.23253973	43.41034462	38.36670998	26.02494284	30.0907061	AADAC
143.0559802	131.5323985	93.31518202	97.51344472	86.87439473	87.14588162	62.8976461	58.47846885	80.06462798	84.96267477	114.7627115	123.667439	129.9629563	142.9785934	AADACP1
14.82913314	9.144555897	11.41974314	10.43918322	11.38559411	9.804017192	8.100228111	7.292273089	9.782836317	12.54540496	6.683312186	11.32545577	12.06487281	11.52052754	AADAT
37.77866789	34.65617511	32.12299113	33.00284955	27.8858155	33.23130113	27.00809308	25.33333544	32.60401862	27.09506497	32.95052414	28.26479907	29.24461367	31.46405589	AAGAB
20.65267221	19.37665752	20.49248502	21.06922701	19.96373333	20.04689353	18.10522253	18.14806946	15.08060921	15.11632233	14.76421814	15.73696173	17.64276273	19.73524318	AAK1
63.74437527	96.26509146	98.56413155	106.9761516	105.9133084	113.0916996	118.8052213	117.033915	93.88812026	94.02754454	94.49037535	99.88511195	102.3039533	85.53152406	AAMP
37.36678236	41.03050205	51.77693062	47.02964466	46.60186476	46.91744131	41.61790952	40.84350064	51.84641638	55.63222344	42.74905254	52.43044878	46.02020148	40.82175243	AAR2
83.64326263	78.30552683	98.10387738	82.71433044	85.09226951	86.24733495	104.0256617	118.0799944	91.76022674	92.09890627	100.0147509	97.42281725	73.96330447	82.12002075	AARS1
66.76984298	74.53164927	77.00387478	76.96428507	83.08962562	76.87546759	64.9676081	66.14705081	50.95739819	60.21228574	48.81885629	47.89504936	49.29246409	32.63320934	AARS2
43.86269144	41.80212574	46.45929047	50.28888648	48.34065479	44.2856089	53.9043307	58.26176999	39.62646822	48.68800061	46.71428953	54.04815591	39.6206834	52.1436918	AARSD1
8.774220085	11.9457542	9.906102935	8.518069831	8.566393048	8.01007395	7.58139813	8.795510118	9.00023561	7.869016747	11.6407628	9.703718421	8.815270258	10.6719246	AASDH
13.68456661	11.53688667	11.2580085	15.60763013	13.52689522	11.09165092	13.06146258	14.50728327	23.39511328	21.32717582	16.19140526	19.14572941	13.88078781	19.67336333	AASDHPPT
50.75727038	44.20191692	43.86955478	45.81701348	41.54545741	44.73020191	40.86042717	38.97576351	39.42264924	34.68097731	36.20593365	35.0772869	35.73169464	41.42935863	AATF
11.38569341	11.02640003	13.84472423	11.19964187	12.85340995	11.75529413	8.613036225	8.682956023	14.76565502	13.92118791	23.0980722	21.40421079	46.77387595	46.50612012	ABCA1
10.7457828	12.16115341	11.8270508	11.32117308	10.40813979	10.09075213	9.976184082	10.30688446	11.32876679	11.37114319	12.60432314	13.02959811	13.38261224	14.22547102	ABCA11P
27.66281755	23.23101235	41.9263701	42.92971321	42.07625614	42.00609615	41.80442261	41.31344208	22.47555271	19.69531288	31.79479344	30.34876963	24.39846635	20.47509602	ABCA2
18.7265024	20.56780856	23.19916602	23.34545531	25.17094846	23.44802016	24.60397685	24.0619014	13.66730419	17.06157447	19.49677467	19.83193629	22.04822962	22.49520346	ABCA3
21.09152472	22.3801549	37.87989078	37.65088876	44.7060866	39.71246347	48.73788627	50.44893594	37.76800584	39.4621427	44.93008225	40.88616525	43.32704406	31.6972629	ABCA7
2.861298204	10.90752467	3.686879187	4.545436704	8.262539365	6.699757844	6.108073738	5.199976387	5.870005022	9.797870011	9.964725652	9.607607063	11.73829619	21.39015988	ABCB10P1
175.4322343	174.8982214	184.3673048	185.4641267	186.8288949	177.7117324	189.9054694	196.3428109	173.5699528	165.4487551	185.5984645	183.124685	153.1276009	175.9485944	ABCB6
