"","name","DMSO_CHR_1","GSK_15_CHR_1","GSK_90_CHR_1","GSK_180_CHR_1","GSK_48H_CHR_1","DMSO_CHR_2","GSK_15_CHR_2","GSK_90_CHR_2","GSK_180_CHR_2","GSK_48H_CHR_2","DMSO_CHR_3","GSK_15_CHR_3","GSK_90_CHR_3","GSK_180_CHR_3","GSK_48H_CHR_3","ID","GSK_15_CHR_vs_DMSO_CHR_CI.L","GSK_15_CHR_vs_DMSO_CHR_CI.R","GSK_15_CHR_vs_DMSO_CHR_diff","GSK_15_CHR_vs_DMSO_CHR_p.adj","GSK_15_CHR_vs_DMSO_CHR_p.val","GSK_180_CHR_vs_DMSO_CHR_CI.L","GSK_180_CHR_vs_DMSO_CHR_CI.R","GSK_180_CHR_vs_DMSO_CHR_diff","GSK_180_CHR_vs_DMSO_CHR_p.adj","GSK_180_CHR_vs_DMSO_CHR_p.val","GSK_48H_CHR_vs_DMSO_CHR_CI.L","GSK_48H_CHR_vs_DMSO_CHR_CI.R","GSK_48H_CHR_vs_DMSO_CHR_diff","GSK_48H_CHR_vs_DMSO_CHR_p.adj","GSK_48H_CHR_vs_DMSO_CHR_p.val","GSK_90_CHR_vs_DMSO_CHR_CI.L","GSK_90_CHR_vs_DMSO_CHR_CI.R","GSK_90_CHR_vs_DMSO_CHR_diff","GSK_90_CHR_vs_DMSO_CHR_p.adj","GSK_90_CHR_vs_DMSO_CHR_p.val","GSK_15_CHR_vs_DMSO_CHR_significant","GSK_180_CHR_vs_DMSO_CHR_significant","GSK_48H_CHR_vs_DMSO_CHR_significant","GSK_90_CHR_vs_DMSO_CHR_significant","significant"
"1","AHNAK",10.9828415179064,11.0518076265454,10.5644764597703,10.6541675543985,10.5840954735035,11.3639438915511,11.1826368640596,10.2903474348384,10.5279621495505,10.729302701324,10.7009860621412,11.0085088283881,10.7190208945615,10.7273929830174,10.5305068498654,"Q09666",-0.247271781040485,0.37739301263673,0.0650606157981226,0.905636892370036,0.663533425158772,-0.691748658382739,-0.0670838647055237,-0.379416261544131,1,0.0205116404994225,-0.713621212473919,-0.0889564187967039,-0.401288815635311,1,0.0152105632277898,-0.803641290981474,-0.178976497304259,-0.491308894142866,1,0.00434194927270378,FALSE,FALSE,FALSE,FALSE,FALSE
"2","PLEC",9.96989654260689,10.2661087061795,10.3002481517103,10.3059763891427,9.78986541540461,10.0183309553067,10.1555060766036,10.3698503148195,10.2759781372019,9.88090884484684,10.1508214287153,10.2801603733669,10.3566329064226,10.1772855446377,9.90388639360403,"Q15149",0.00887425955342552,0.366276560127312,0.187575409840369,0.613863663341543,0.0408645122885344,0.0280292311641768,0.385431531738063,0.20673038145112,1,0.0261970799644188,-0.366830574544736,-0.00942827397085028,-0.188129424257793,1,0.0403491530440711,0.117192998487574,0.47459529906146,0.295894148774517,1,0.00302041901449568,FALSE,FALSE,FALSE,FALSE,FALSE
"3","FLNB",9.06850985049419,9.19853534942226,8.94746048225483,9.05521216339203,9.06675943060789,9.24070881871303,9.18554876808371,9.12556356871529,8.86433177061983,9.02806068613286,8.89572389047492,8.991862966788,9.11686487091954,9.11571370587103,9.10645356712989,"O75369",-0.170079050677764,0.284082067085642,0.057001508203939,0.900056357880317,0.600634861566153,-0.283642198814786,0.17051891894862,-0.0565616399330828,1,0.603422485158637,-0.22830351748554,0.225857600277866,-0.00122295860383659,1,0.990996959052873,-0.232098438145865,0.222062679617541,-0.00501787926416242,1,0.96307360789775,FALSE,FALSE,FALSE,FALSE,FALSE
"4","FLNA",9.84727515060163,9.48634832460492,9.31468631518899,9.38744475386124,9.81032832607774,9.6834045591156,9.62037578466075,9.4570670586492,9.32576468178737,9.70752344533286,9.56790669667357,9.56390763364592,9.49345142933569,9.51460480785837,9.57045870317384,"P21333",-0.356027220526526,0.0707241115403839,-0.142651554493071,0.806155297761159,0.174745757265849,-0.50363305366139,-0.0768817215944808,-0.290257387627936,1,0.0109839529128393,-0.216800976635575,0.209950355431335,-0.00342531060212004,1,0.973169274387742,-0.491169533772426,-0.0644182017055166,-0.277793867738971,1,0.0141338140408048,FALSE,FALSE,FALSE,FALSE,FALSE
"5","HSP90AA1",10.1103549041596,10.226525354964,10.1844192215011,10.1880981364527,10.2901695073952,9.78848013745943,9.94354170008084,10.3235118759092,10.2328823105726,10.297067985247,10.0976369451052,10.1269958530758,10.2097182093406,10.248663021613,10.3506999646434,"P07900",-0.11735213747087,0.317746085068523,0.100196973798827,0.863550928785104,0.342003149023139,0.00684138270163998,0.441939605241033,0.224390493971336,1,0.0440179085297889,0.0962727122507722,0.531370934790165,0.313821823520469,1,0.00768360579915154,0.022843328739188,0.457941551278581,0.240392440008884,1,0.0325290634736511,FALSE,FALSE,FALSE,FALSE,FALSE
"6","VIM",8.43107458722491,8.61415158285257,8.96903008361331,9.13747267471637,8.77669324376277,8.13616422177865,8.70096478181757,9.30084680283077,8.94608776741206,8.54853822548609,9.04408568252175,8.78343704894824,8.89986701500077,8.7770066292194,8.98517445608532,"P08670",-0.2401425774446,0.564961858839989,0.162409640697694,0.875237032589565,0.403548110667517,0.013861975131877,0.818966411416466,0.416414193274171,1,0.0434855406507872,-0.169525073539337,0.635579362745251,0.233027144602957,1,0.236388006950318,0.116920918497548,0.922025354782137,0.519473136639842,1,0.0148469236951421,FALSE,FALSE,FALSE,FALSE,FALSE
"7","ACTB",10.3709419890643,10.5242224970666,10.9026732102056,10.7063953907774,10.4630902551663,10.2733988723669,10.5417254375752,11.1265732062032,10.6429255723495,10.3211641871367,10.9664210404764,10.5987606138206,10.7066730015208,10.6156415189051,10.5900011925246,"P60709",-0.306824077399164,0.34278850843575,0.0179822155182929,0.921833100272675,0.907676049088232,-0.206739432876012,0.442873152958902,0.118066860041445,1,0.450698933831584,-0.403641715277485,0.24597087055743,-0.0788354223600276,1,0.612629585955925,0.0502462124231994,0.699858798258114,0.375052505340657,1,0.026435031246563,FALSE,FALSE,FALSE,FALSE,FALSE
"8","HSP90AB1",8.31813997668895,8.23059030884169,8.25952523882622,8.27178205877068,8.40289715913303,7.91034383503947,8.11574232680535,8.39887245480846,8.39915747195098,8.23240257408177,8.30258334565468,8.09988082709331,8.35105503777873,8.29853068785941,8.42486732469435,"P08238",-0.261562283542163,0.204993153780334,-0.0282845648809147,0.91551209775031,0.799678836422121,-0.0871433649285875,0.379412072393909,0.146134353732661,1,0.201837258715993,-0.0569110851525614,0.409644352169936,0.176366633508687,1,0.127988805080051,-0.0738158606511425,0.392739576671354,0.159461858010106,1,0.165832135220935,FALSE,FALSE,FALSE,FALSE,FALSE
"9","KRT8",8.2960428053209,8.41679465135911,8.27664350313182,8.29911365652132,8.32352874858747,8.14931615791661,8.18644852813787,8.36143315509499,8.39436998337102,8.26476653076172,8.501597153043,8.12873472239033,8.38734466311201,8.19847538169087,8.43786496331519,"P05787",-0.301590007926176,0.158271198330695,-0.0716594047977406,0.891173356681506,0.516775681730441,-0.248262968027539,0.211598238229331,-0.0183323648991038,1,0.867392198874153,-0.203529227667147,0.256331978589724,0.0264013754612886,1,0.81006480063331,-0.203775534775669,0.256085671481201,0.0261550683527663,1,0.811800013348713,FALSE,FALSE,FALSE,FALSE,FALSE
"10","ANXA2",9.62999543055181,9.87499427694009,9.96777077263358,9.88496140328639,9.64017264503214,9.93336271946755,9.66949628769152,9.86652073226012,9.89276096256271,9.76900798347292,9.88826199243523,10.1508489912624,9.8388619058828,9.76893559790053,9.59746175457902,"P07355",-0.171337483422252,0.33381709238188,0.0812398044798144,0.889592621688062,0.503629326288322,-0.22089801413705,0.284256561667082,0.0316792737650164,1,0.792949960527649,-0.40090320769223,0.104251368111902,-0.148325919790164,1,0.229989019104083,-0.178732865128098,0.326421710676034,0.0738444227739681,1,0.542718679454152,FALSE,FALSE,FALSE,FALSE,FALSE
