"","name","DMSO_HYPO_1","GSK_15_HYPO_1","GSK_90_HYPO_1","GSK_180_HYPO_1","GSK_48H_HYPO_1","DMSO_HYPO_2","GSK_15_HYPO_2","GSK_90_HYPO_2","GSK_180_HYPO_2","GSK_48H_HYPO_2","DMSO_HYPO_3","GSK_15_HYPO_3","GSK_90_HYPO_3","GSK_180_HYPO_3","GSK_48H_HYPO_3","ID","GSK_15_HYPO_vs_DMSO_HYPO_CI.L","GSK_15_HYPO_vs_DMSO_HYPO_CI.R","GSK_15_HYPO_vs_DMSO_HYPO_diff","GSK_15_HYPO_vs_DMSO_HYPO_p.adj","GSK_15_HYPO_vs_DMSO_HYPO_p.val","GSK_180_HYPO_vs_DMSO_HYPO_CI.L","GSK_180_HYPO_vs_DMSO_HYPO_CI.R","GSK_180_HYPO_vs_DMSO_HYPO_diff","GSK_180_HYPO_vs_DMSO_HYPO_p.adj","GSK_180_HYPO_vs_DMSO_HYPO_p.val","GSK_48H_HYPO_vs_DMSO_HYPO_CI.L","GSK_48H_HYPO_vs_DMSO_HYPO_CI.R","GSK_48H_HYPO_vs_DMSO_HYPO_diff","GSK_48H_HYPO_vs_DMSO_HYPO_p.adj","GSK_48H_HYPO_vs_DMSO_HYPO_p.val","GSK_90_HYPO_vs_DMSO_HYPO_CI.L","GSK_90_HYPO_vs_DMSO_HYPO_CI.R","GSK_90_HYPO_vs_DMSO_HYPO_diff","GSK_90_HYPO_vs_DMSO_HYPO_p.adj","GSK_90_HYPO_vs_DMSO_HYPO_p.val","GSK_15_HYPO_vs_DMSO_HYPO_significant","GSK_180_HYPO_vs_DMSO_HYPO_significant","GSK_48H_HYPO_vs_DMSO_HYPO_significant","GSK_90_HYPO_vs_DMSO_HYPO_significant","significant"
"1","AHNAK",7.60932917678829,7.80041922822535,7.78783484609034,7.91692253625916,8.03481284765098,7.78344276304229,7.90887368745782,7.69136202420948,7.88246199574872,7.80520878168848,7.72706125016594,7.76016229872575,7.81936556307372,7.86154513786935,7.93533660708413,"Q09666",-0.0287592137516021,0.261840563359866,0.116540674804132,1,0.107661594042823,0.0350656047378318,0.3256653818493,0.180365493293566,0.825971071644218,0.0184632683315674,0.0732084602532909,0.363808237364759,0.218508348809025,0.254568815258734,0.00600513071228062,-0.0857234740967322,0.204876303014736,0.0595764144590021,1,0.394937500626156,FALSE,FALSE,FALSE,FALSE,FALSE
"2","FLNB",7.94201437600052,7.9585237032735,7.79953646751547,7.86095105976124,7.86788893518182,7.82840849051423,7.91245577877769,7.90806218808666,7.9337320034473,7.81504191236488,7.82632466105751,7.90795491900387,7.9073933924247,7.89120724334469,7.87923482583529,"O75369",-0.0505309058618621,0.171988821517056,0.0607289578275969,1,0.262021142659827,-0.0815456040291273,0.140974123349791,0.0297142596603317,0.946018500931505,0.576703637992223,-0.122787148419547,0.0997325789593714,-0.0115272847300876,0.850939296765184,0.82776293330515,-0.105178356871267,0.117341370507651,0.00608150681819186,1,0.908559996365293,FALSE,FALSE,FALSE,FALSE,FALSE
"3","FLNA",7.86146954914077,8.05127758541772,7.78912404292902,7.94979839516955,7.87955531977528,7.91471431451857,7.98195911211147,7.80502785942364,7.93964329186312,7.91331282575646,8.00502448930151,7.93414647480335,7.84655399452386,7.92143258313071,7.8702365649746,"P21333",-0.0468200642912476,0.170936610539042,0.0620582731238972,1,0.242420322923291,-0.0989896983476311,0.118766976482659,0.00988863906751369,0.953703170832235,0.84871156687458,-0.148246218233314,0.0695104565969758,-0.039367880818169,0.787855500655885,0.451867657572615,-0.222379156109921,-0.0046224812796313,-0.113500818694776,1,0.0421296399595995,FALSE,FALSE,FALSE,FALSE,FALSE
"4","HSP90AA1",7.89694027595222,7.85281239269888,7.99970075159683,7.83296971095071,7.73398602015147,7.82586625272349,7.90279460463324,7.91565968670337,7.9023438736456,7.81063122963682,7.84887292586562,7.91938082108088,7.84483012913248,7.91499287761844,7.83806533879389,"P07900",-0.0801987332432186,0.149070975824348,0.0344361212905646,1,0.530691115615552,-0.0884258519759718,0.140843857091595,0.0262090025578114,0.947879970728298,0.632247441132859,-0.177633809853495,0.0516358992140715,-0.0629989553197117,0.71519197897331,0.258914875417888,-0.0517978169033333,0.177471892164233,0.0628370376304499,1,0.260087156783043,FALSE,FALSE,FALSE,FALSE,FALSE
"5","VIM",7.71815874756452,7.77485694048268,7.75793998947517,7.38569000076966,7.54876985325142,7.7353592016186,7.64593499502286,7.7001669081838,7.66505046639317,7.55485535003771,7.72042352561136,7.74025844453812,7.62938332111516,7.62786644832356,7.57238366016536,"P08670",-0.148945633428027,0.140351570260809,-0.00429703158360883,1,0.950219228961979,-0.309760121613781,-0.020462917924945,-0.165111519769363,0.848851511478235,0.0280542388661812,-0.31062613895775,-0.0213289352689142,-0.165977537113332,0.376840868522979,0.0273651024077508,-0.173465687184537,0.115831516504299,-0.0288170853401191,1,0.6763749131574,FALSE,FALSE,FALSE,FALSE,FALSE
"6","ACTB",8.67545427771542,8.79770862347167,8.89125019240414,8.89343003886696,8.67777930555871,8.63389297357267,8.88796080622597,8.77402903629681,8.92506212374904,8.70331383979125,8.52957945714608,8.91145066103157,8.94748729821338,8.84638334231995,8.59077699148149,"P60709",0.123006992904234,0.382455261959133,0.252731127431684,1,0.000890727427682377,0.145592130973146,0.405040400028046,0.275316265500596,0.662096375717616,0.000428486324609824,-0.0854096583950185,0.174038610659881,0.0443144761324312,0.794072347206077,0.476766903509449,0.128222471632604,0.387670740687504,0.257946606160054,1,0.000751372794279096,FALSE,FALSE,FALSE,FALSE,FALSE
"7","HSP90AB1",6.94760726594614,6.88310851280128,6.99599139540656,6.72190967812657,6.56617698029426,6.82085669918509,6.86543556698926,6.91718388263493,6.8763931165672,6.7663229726131,6.73804993163505,6.94586685166756,6.902673166258,6.90295008252083,6.68788758986902,"P08238",-0.0867864184912641,0.212051108285807,0.0626323448972714,1,0.384746382011403,-0.151172436572431,0.14766509020464,-0.00175367318389519,0.956524405368277,0.980320491177271,-0.311460881385169,-0.0126233546080979,-0.162042117996633,0.396656915913363,0.035491703170431,-0.0463072475441361,0.252530279232935,0.103111515844399,1,0.161475432732208,FALSE,FALSE,FALSE,FALSE,FALSE
"8","KRT8",6.31237296119306,6.44149695269207,6.41553867621032,6.13971920384251,6.39577131823151,6.38966760770358,6.40791892284346,6.3970671177604,6.35680578268975,6.19493077727076,6.13795631762802,6.51014286861032,6.44665016484851,6.407107551504,6.06218929928004,"P05787",-0.0173820396291752,0.363756611376634,0.17318728587373,1,0.0717003726836718,-0.169357441665708,0.211781209340101,0.0212118838371964,0.952914543933369,0.815207489184453,-0.25293782275036,0.12820082825545,-0.062368497247455,0.798375731090587,0.495136518612332,-0.0508163014047157,0.330322349601094,0.139753024098189,1,0.138459054103285,FALSE,FALSE,FALSE,FALSE,FALSE
"9","ANXA2",8.11808941698892,8.04398662541776,8.36106364806343,8.44783792620514,8.56844649592345,8.15067263904937,8.26403497809234,8.36316883398058,8.38980509351585,8.20902917162734,8.10525077847091,8.21618809646749,8.39660724811406,8.38045268982994,8.29886572952435,"P07355",-0.119795883789446,0.219927127435045,0.0500656218227995,1,0.538350766550554,0.111499452735002,0.451222463959494,0.281360958347248,0.696702929410232,0.0031085535053101,0.0642480152430689,0.40397102646756,0.234109520855315,0.296019053709515,0.0103079783034235,0.0790807929373852,0.418803804161876,0.248942298549631,1,0.00708252224566954,FALSE,FALSE,FALSE,FALSE,FALSE
"10","PKM",8.24255412135259,8.15755323295832,8.32767232422985,8.15521138813825,8.15969205073602,8.14012108254876,8.09548155553201,8.23855544980857,8.30757127935869,8.21389738353061,8.14257415489389,8.23913691323445,8.18456507111636,8.27183509358886,8.20920724577351,"P14618",-0.139026190312404,0.116974418932092,-0.0110258856901559,1,0.856416510741851,-0.058210837192059,0.197789772052437,0.0697894674301889,0.92852885022656,0.262523983952604,-0.108817864207279,0.147182745037217,0.0191824404149692,0.84205147308952,0.753203143953347,-0.0528191425024008,0.203181466742095,0.075181162119847,1,0.229037982353915,FALSE,FALSE,FALSE,FALSE,FALSE
"11","KRT18",7.22509576312951,7.34802067071956,7.36246947412975,6.92551745640719,7.18525072333761,7.20359086899667,7.20000142980313,7.325836667419,7.21780481289229,7.19537165715242,6.74787927701534,7.42501232805409,7.38049791674647,7.24218643258652,7.11221735566213,"P05783",0.0248308809869694,0.50614813196987,0.26548950647842,1,0.0328669930793619,-0.171011027909957,0.310306223072944,0.0696475975814934,0.944883940183034,0.545639827297666,-0.135234016487902,0.346083234494999,0.105424609003548,0.761524616037287,0.36426947762806,0.0567540908931134,0.538071341876014,0.297412716384564,1,0.018897289375258,FALSE,FALSE,FALSE,FALSE,FALSE
"12","HSPD1",7.14260120794434,7.24194676197984,7.08099352482794,7.0079265139176,7.14455099931611,7.1088824515069,7.16859377626045,7.13192002615195,7.14821063324016,7.06833321778554,7.26744261191093,7.01955932227623,7.06215683346545,6.97318928778449,7.39390908268642,"P10809",-0.209175949420568,0.149958342190136,-0.0296088036152158,1,0.729478662226766,-0.309433757945327,0.0497005336653771,-0.129866612139975,0.912369466163569,0.143580184016409,-0.150278136330056,0.208856155280648,0.0292890094752956,0.839336605290936,0.732275915159427,-0.260852441444298,0.0982818501664064,-0.0812852956389456,1,0.348964332716141,FALSE,FALSE,FALSE,FALSE,FALSE
"13","AHNAK2",5.50168761588867,5.70041176068934,5.86206462879468,6.11142054539933,5.46441400995667,5.77540235823662,5.99239651514552,5.85451439810854,5.90705179091182,5.15426762854776,5.82115194145039,5.61435747161549,5.85918412553991,5.91761161769964,5.56848812946602,"Q8IVF2",-0.178933023503573,0.318215578086689,0.0696412772915576,1,0.558381850107992,0.030706378683243,0.527854980273505,0.279280679478374,0.852579447497267,0.0302190025993292,-0.552265016663544,-0.055116415073282,-0.303690715868413,0.349410971517076,0.0200542985409102,-0.0894005551726445,0.407748046417617,0.159173745622486,1,0.191796730287395,FALSE,FALSE,FALSE,FALSE,FALSE
"14","HSPA8",7.57037536311703,7.55434053657244,7.68543236076199,7.81567268055745,7.30123532624045,7.25827683684009,7.65156961580132,7.73104751807821,7.77984911393705,7.46111455662182,7.36037158896294,7.68211676449856,7.70596869197149,7.71859479929469,7.44297965229312,"P11142",0.0764280633836117,0.389574021917892,0.233001042650752,1,0.00642610891312686,0.218457955689237,0.531603914223518,0.375030934956378,0.613677512791155,0.00014024573003706,-0.151137730522033,0.162008228012248,0.00543524874510748,0.862615375645933,0.941843818749953,0.154568614696739,0.467714573231019,0.311141593963879,1,0.000755272879429982,FALSE,FALSE,FALSE,FALSE,FALSE
"15","ALDH1A1",7.407556954776,7.31879364369285,7.50780668880623,7.26964077604339,7.31559171515744,7.35540845975602,7.37649866138144,7.41055951884471,7.41768763613674,7.26753950280668,7.2480146592341,7.43306808430864,7.3908541290668,7.46077204429116,7.24606965357302,"P00352",-0.0953631068198218,0.173616650564365,0.0391267718722714,1,0.543555106204729,-0.0887830844570332,0.180196672927153,0.04570679423506,0.942168033365748,0.478990864934469,-0.195082946101751,0.073896811282435,-0.0605930674096582,0.756829341763456,0.351171380776435,-0.035076457708223,0.233903299675963,0.0994134209838702,1,0.13557444291332,FALSE,FALSE,FALSE,FALSE,FALSE
"16","GAPDH",8.54982735802458,8.43228154378163,8.53212893247207,8.38885396335618,8.59378962633034,8.41039531960974,8.44724420149533,8.48545690281096,8.52906483972171,8.53720006259643,8.26548918040922,8.49345925478372,8.49299022735918,8.57055440264564,8.58214126965767,"P04406",-0.0955138050097684,0.19369589968787,0.0490910473390507,1,0.479459878230764,-0.0570177364554894,0.232191968242149,0.0875871158933297,0.923562843617204,0.215543362403698,0.0178681811648175,0.307077885862456,0.162473033513637,0.384721225435732,0.0302145541659712,-0.0496501174826019,0.239559587215036,0.0949547348662172,1,0.181381974329541,FALSE,FALSE,FALSE,FALSE,FALSE
"17","ENO1",7.59699323423295,7.63572573691389,7.68201733094316,7.59684859804179,7.71607923862979,7.60367771858375,7.60432604819672,7.66224479625178,7.64763488293882,7.66544005944616,7.49733548953279,7.68247334924104,7.67653306503367,7.71028524299963,7.57796162810904,"P06733",-0.0396521425065289,0.189331270507963,0.0748395640007171,1,0.183251374291341,-0.0289042792969964,0.200079133717496,0.0855874272102497,0.909766819561827,0.131540300447111,-0.0273335452287448,0.201649867785747,0.0871581612785013,0.597724880461273,0.125138389167446,-0.00689545654754065,0.222087956466951,0.107596249959705,1,0.0635148975797021,FALSE,FALSE,FALSE,FALSE,FALSE
"18","NCL",6.27016932578783,6.05208626353006,5.75697121123179,6.12001360176201,6.33994950858077,5.98207930115477,6.29978575376638,6.02193417622404,6.01047162970341,6.11223829157865,6.3835836578701,6.0800237711021,5.85386926625143,5.93043820255314,6.25325075978314,"P19338",-0.292207937461935,0.156250273185829,-0.0679788321380528,1,0.526963343603834,-0.415865388921932,0.032592821725831,-0.191636283598051,0.896958288682133,0.0883211253046098,-0.201027013613932,0.247431197033831,0.0232020917099494,0.850963382186141,0.827978449122567,-0.5585816490257,-0.110123438377937,-0.334352543701819,1,0.00634381752106775,FALSE,FALSE,FALSE,FALSE,FALSE
"19","FASN",5.46720202225902,5.47482084284634,5.60647689855445,5.84828472761426,5.63644648470484,5.34561072942686,5.50227131714943,5.58677127659741,5.70818990333165,5.75212724288527,5.46716952049164,5.65722081356882,5.62728651526806,5.67243610229956,5.53065707840059,"P49327",-0.0323510500051654,0.268571517596547,0.118110233795691,1,0.114700332454353,0.165848203221796,0.466770770823509,0.316309487022653,0.664542933733311,0.000465849801783218,0.0626215608035399,0.363544128405253,0.213082844604396,0.284772641739989,0.0087584102891998,0.0297228556132778,0.33064542321499,0.180184139414134,1,0.0221998601757896,FALSE,FALSE,FALSE,FALSE,FALSE
"20","ACLY",6.13426832884632,6.18128898879145,6.2488945915342,6.34577221398252,6.05756701574624,6.25889005791284,6.1772926190972,6.21862473452407,6.23409407428329,6.12776569420335,6.22908331517685,6.19200557450423,6.21527783904469,6.22607819951331,6.16222724226384,"P53396",-0.135861264336084,0.0880915846406618,-0.0238848398477112,1,0.65507981390428,-0.050742162540667,0.173210686436079,0.061234261947706,0.928402088506932,0.261169604582074,-0.203537007729235,0.0204158412475108,-0.0915605832408621,0.559857375052886,0.101564147989838,-0.0917912700993935,0.132161578877352,0.0201851543889795,1,0.705502319941207,FALSE,FALSE,FALSE,FALSE,FALSE
"21","TUBB4B",5.49164962471504,5.26823025222252,5.12340297178392,4.99956999216176,5.10907227386914,5.17878107589183,5.16131966809421,5.25212217848108,5.27028842134433,5.1599260127523,5.22989554441776,5.21491486677176,5.21431143857796,5.21461598533151,5.18091082384485,"P68371",-0.263086556659987,0.0925122513692216,-0.0852871526453827,1,0.321868513074134,-0.316416686076949,0.0391821219522592,-0.138617282062345,0.906167729741269,0.116990036389305,-0.327938448867386,0.0276603591618221,-0.150139044852782,0.541045305312376,0.0918180429865568,-0.281295956075163,0.0743028519540454,-0.103496552060559,1,0.23302250582974,FALSE,FALSE,FALSE,FALSE,FALSE
"22","TUBB",7.19638337287715,7.26595723123206,7.37614982697045,7.52293298575128,7.33451696466907,7.22841248773871,7.30448079993494,7.33317247087658,7.41855775898081,7.35657962167653,7.24042182638862,7.37067353528232,7.3983674783805,7.41135772915469,7.20993448334574,"P07437",-0.0248310828920608,0.208760335855287,0.0919646264816132,1,0.113683720989561,0.11241455292042,0.346005971667768,0.229210262294094,0.678598241553614,0.000838473219292761,-0.0381912484780542,0.195400170269294,0.0786044608956198,0.651548286894646,0.171402924590699,0.0306949870340046,0.264286405781352,0.147490696407679,1,0.0168602030878226,FALSE,FALSE,FALSE,FALSE,FALSE
"23","ACTN4",6.02775329973976,6.27215961444593,6.15072453389408,5.91244391136836,5.91483430117452,6.00269009918655,6.22967829261532,6.12462199741944,6.12923823037015,5.91640479535023,5.99611617289639,6.19748820359301,6.08811317473428,6.14997401569334,5.91892018273499,"O43707",0.0980742112956191,0.350436814592089,0.224255512943854,1,0.00184788236646433,-0.0711491064451858,0.181213496851284,0.055032195203049,0.936334900341746,0.366327259598748,-0.218314732502556,0.0340478707939132,-0.0921334308543216,0.617468247706291,0.140049407743881,-0.013881256906537,0.238481346389933,0.112300044741698,1,0.0771214118568232,FALSE,FALSE,FALSE,FALSE,FALSE
"24","HSPA5",6.1267334770362,6.30660240756745,6.25263617104478,6.43033839973249,6.24360247354034,6.13540008576265,6.28214909430896,6.37423099085504,6.36188130249124,6.16312725005661,6.34440580813584,6.27809445400711,6.23858690471248,6.27453540875018,6.27185327052281,"P11021",-0.0555650642753849,0.229102787574602,0.0867688616496087,1,0.212747490206623,0.0110713207547482,0.295739172604735,0.153405246679742,0.861601627215686,0.0364793623728691,-0.118319384863302,0.166348466986685,0.0240145410616917,0.838162867487577,0.723476705437134,-0.0560290273657886,0.228638824484199,0.086304898559205,1,0.215073306687647,FALSE,FALSE,FALSE,FALSE,FALSE
