"","name","DMSO_NUC_1","GSK_15_NUC_1","GSK_90_NUC_1","GSK_180_NUC_1","GSK_48H_NUC_1","DMSO_NUC_2","GSK_15_NUC_2","GSK_90_NUC_2","GSK_180_NUC_2","GSK_48H_NUC_2","DMSO_NUC_3","GSK_15_NUC_3","GSK_90_NUC_3","GSK_180_NUC_3","GSK_48H_NUC_3","ID","GSK_15_NUC_vs_DMSO_NUC_CI.L","GSK_15_NUC_vs_DMSO_NUC_CI.R","GSK_15_NUC_vs_DMSO_NUC_diff","GSK_15_NUC_vs_DMSO_NUC_p.adj","GSK_15_NUC_vs_DMSO_NUC_p.val","GSK_180_NUC_vs_DMSO_NUC_CI.L","GSK_180_NUC_vs_DMSO_NUC_CI.R","GSK_180_NUC_vs_DMSO_NUC_diff","GSK_180_NUC_vs_DMSO_NUC_p.adj","GSK_180_NUC_vs_DMSO_NUC_p.val","GSK_48H_NUC_vs_DMSO_NUC_CI.L","GSK_48H_NUC_vs_DMSO_NUC_CI.R","GSK_48H_NUC_vs_DMSO_NUC_diff","GSK_48H_NUC_vs_DMSO_NUC_p.adj","GSK_48H_NUC_vs_DMSO_NUC_p.val","GSK_90_NUC_vs_DMSO_NUC_CI.L","GSK_90_NUC_vs_DMSO_NUC_CI.R","GSK_90_NUC_vs_DMSO_NUC_diff","GSK_90_NUC_vs_DMSO_NUC_p.adj","GSK_90_NUC_vs_DMSO_NUC_p.val","GSK_15_NUC_vs_DMSO_NUC_significant","GSK_180_NUC_vs_DMSO_NUC_significant","GSK_48H_NUC_vs_DMSO_NUC_significant","GSK_90_NUC_vs_DMSO_NUC_significant","significant"
"1","AHNAK",10.3894108862065,10.6310925945185,10.4606572162244,10.1956596854192,10.5061777505462,10.3210982680963,10.6758923471212,10.1546000202411,10.4436361345059,10.4430907048666,10.5061748532436,10.334347786032,10.4362905007991,10.4704203009555,10.4133566822981,"Q09666",-0.114798201381647,0.397897348131839,0.141549573375096,0.988534221711135,0.257998542896756,-0.292003736978677,0.220691812534809,-0.0356559622219343,0.990540980202155,0.771248315972387,-0.20770073136863,0.304994818144857,0.0486470433881134,1,0.691964350382089,-0.311393198184011,0.201302351329475,-0.0550454234272681,0.716755305611322,0.654174078450858,FALSE,FALSE,FALSE,FALSE,FALSE
"2","PLEC",8.52081092262272,8.22467842554551,8.20925411554095,8.67244682111381,8.61993986014463,8.18332259869404,8.60162449293143,8.57437201356922,8.55773200847381,8.31757945908931,8.39340636071396,8.68075689795925,8.55748948326571,8.28448086680966,8.47261411470887,"Q15149",-0.185397498845995,0.458410788449646,0.136506644801825,0.990660649816379,0.380890152879161,-0.182864205525636,0.460944081770005,0.139039938122185,0.987921945330748,0.372341426430058,-0.217706293010458,0.426101994285183,0.104197850637362,1,0.501305449790142,-0.240712233532772,0.403096053762869,0.0811919101150487,0.705991242170465,0.59921858752031,FALSE,FALSE,FALSE,FALSE,FALSE
"3","FLNB",8.19026814524434,8.17941219879751,8.34262407371662,8.09087027792018,8.33860735284701,7.86288976432139,8.17718350127326,8.62046904366714,8.19010597570348,8.35586318224729,8.16182293853257,8.21875203565859,8.28547896511318,8.31572183450348,8.15702497897789,"O75369",-0.130815488204186,0.371060079958217,0.120122295877016,0.989832166391431,0.324260386406316,-0.123698704071592,0.37817686409081,0.127239080009609,0.987047467664183,0.297356558229288,-0.0387662287565763,0.463109339405826,0.212171555324625,1,0.0917589300755707,0.0935926273850116,0.595468195547414,0.344530411466213,0.191310675271032,0.0103538341827234,FALSE,FALSE,FALSE,TRUE,TRUE
"4","FLNA",8.71714651433531,8.44150968990303,8.70507183511491,8.41863030680053,8.69705296651958,8.30876608068709,8.60311238880508,8.9157840719187,8.63962004221389,8.48821908206031,8.80127761931412,8.63357262035369,8.53297095366001,8.55054879873886,8.56412267540848,"P21333",-0.337190512904616,0.237860169388142,-0.049665171758237,0.993384007696554,0.718259997957064,-0.360322363340792,0.214728318951966,-0.072797022194413,0.989650121937564,0.597840865693427,-0.313457171262429,0.261593511030328,-0.0259318301160505,1,0.850345768133622,-0.17864645902735,0.396404223265408,0.108878882119029,0.66487841566786,0.432749239817585,FALSE,FALSE,FALSE,FALSE,FALSE
"5","HSP90AA1",8.29051086720949,8.3910832879994,8.61867550001837,8.67162955011099,8.70883344224865,8.43555288820963,8.45715260380314,8.68701735947017,8.60561975362755,8.71155303490178,8.64971126876092,8.48685782197494,8.53679685160716,8.51487287688304,8.74675392430651,"P07900",-0.228051752265369,0.200930878663659,-0.0135604368008551,0.994175154250128,0.894747359038861,-0.0757089299840048,0.353273700945022,0.138782385480509,0.985126212103162,0.188410497737825,0.0492971436277847,0.478279774556812,0.263788459092298,1,0.0191980424772221,-0.0589197531592924,0.370062877769735,0.155571562305221,0.511209115847037,0.143190959966315,FALSE,FALSE,FALSE,FALSE,FALSE
"6","ACTB",9.89308205677205,9.88990923167858,10.2723878560735,10.1387760139765,9.92878190868851,9.78540319881309,9.95873171833342,10.4807029070436,10.1112040560644,10.0029979910568,10.149877884412,10.1017690146646,10.1219328877556,10.0720082416371,9.93044131243456,"P60709",-0.20368055529871,0.285045105085067,0.0406822748931788,0.993434307744118,0.728002022773731,-0.0798211062982626,0.408904554085514,0.164541723893626,0.98471622226567,0.172051200763149,-0.233076806130963,0.255648854252814,0.0112860240609258,1,0.922994124856999,0.104524006766632,0.593249667150409,0.348886836958521,0.17318525326279,0.0081533438537611,FALSE,FALSE,FALSE,TRUE,TRUE
"7","HSP90AB1",6.37353965792481,6.56522393829563,6.81311007793268,6.69837531394166,6.67626222934703,6.2837139638311,6.63391929532532,7.08530169637393,6.65579513430066,6.61903516374326,6.57762582609297,6.71939099678016,6.70412045474067,6.67820035943629,6.61568541805698,"P08238",-0.00548871296565834,0.461258568000469,0.227884927517406,0.973790008134128,0.0549634952883296,0.03245681279351,0.499204093759638,0.265830453276574,0.973660174394182,0.0281896263269426,-0.00800585271693655,0.458741428249191,0.225367787766127,1,0.0573875748224831,0.222510619916403,0.68925790088253,0.455884260399467,0.0801360709463356,0.000810605253813746,FALSE,FALSE,FALSE,TRUE,TRUE
"8","KRT8",8.09376855751885,7.57562565567121,7.69529670838387,7.85146978185695,8.23907903330204,7.68097881338522,8.03226219661493,7.88176644775708,7.97187287719441,7.79954281087503,7.58557990864197,7.92917005659193,8.17998263620283,7.76236798397864,7.84432771922031,"P05787",-0.301228538025759,0.419048957580456,0.0589102097773484,0.993457470371207,0.732549244349571,-0.285010959975116,0.435266535631099,0.0751277878279915,0.990015563137141,0.663357625957065,-0.185931319852657,0.534346175753558,0.17420742795045,1,0.319365629103582,-0.22789924353719,0.492378252069025,0.132239504265917,0.668932031437978,0.446558420349965,FALSE,FALSE,FALSE,FALSE,FALSE
"9","ANXA2",8.71295066776186,8.95723962695606,9.38300567484513,9.27087669195298,9.06405274772464,9.11969154020602,9.11207361417079,9.07491582158922,9.11150858247075,9.39542312067562,9.04229463464976,9.21419802060538,9.19564562724172,9.26048580666723,8.99053890017356,"P07355",-0.15243275612014,0.424815702196531,0.136191473038195,0.989941638775258,0.330992273472973,-0.0326461496672264,0.544602308649445,0.25597807949111,0.980673899528075,0.0782652416181672,-0.096931587172938,0.480316871143734,0.191692641985398,1,0.177625766603466,-0.0290808021388576,0.548167656177814,0.259543427019478,0.414703773080805,0.0745956548986658,FALSE,FALSE,FALSE,FALSE,FALSE
"10","PKM",8.86088904825299,9.06594436369565,9.10287589588382,8.83263757041105,8.87758515461904,8.4628182750701,8.45478551975568,9.04245555135936,9.49221236065442,8.80605296903297,8.85860780175806,9.12514994456685,8.94469967431054,8.95269114437841,8.98714932007564,"P14618",-0.241449556434873,0.550492691726224,0.154521567645675,0.991123161518062,0.419129626529312,-0.030895807292977,0.76104644086812,0.365075316787571,0.979865802678415,0.0682448740674577,-0.233147017865051,0.558795230296046,0.162824106215497,1,0.395140656924816,-0.0933991252563619,0.698543122904735,0.302571998824186,0.490497723267054,0.124389439582479,FALSE,FALSE,FALSE,FALSE,FALSE
