"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","GeneSymbol","Chromosome","Strand","Class"
"ENSG00000117360",2058.26978334211,-0.435214594318086,0.0553378340151566,1.83153636115263e-16,1.90644619832377e-12,"PRPF3","1:150321479-150353233","+","protein_coding"
"ENSG00000174231",23536.9739393178,-0.209593297000926,0.0299772300627678,1.65802745402075e-13,8.629203884451e-10,"PRPF8","17:1650629-1684867","-","protein_coding"
"ENSG00000270647",4960.29291689114,0.285793513811568,0.0415782346738872,3.37204096669266e-13,1.1699858140768e-09,"TAF15","17:35713791-35864615","+","protein_coding"
"ENSG00000114270",4679.49034286315,0.312726365033822,0.0476236614329528,2.69110708194138e-12,7.00293340398196e-09,"COL7A1","3:48564073-48595267","-","protein_coding"
"ENSG00000132485",897.424359998908,0.486172517379092,0.0766270028994307,1.05278755588409e-11,2.19169313383951e-08,"ZRANB2","1:71063291-71081289","-","protein_coding"
"ENSG00000177731",7148.51897730252,0.239208116051911,0.0385203810640923,2.91285204493131e-11,5.053312822615e-08,"FLII","17:18244815-18258738","-","protein_coding"
"ENSG00000134186",1467.23196712933,-0.392167389208573,0.0645356730119396,5.85396380827686e-11,8.70484418290769e-08,"PRPF38B","1:108692310-108702928","+","protein_coding"
"ENSG00000112739",3033.97804019489,-0.354004172335362,0.0607098607333611,2.67076318722519e-10,3.39546633697364e-07,"PRPF4B","6:4021267-4064983","+","protein_coding"
"ENSG00000131051",6561.29947885279,-0.244773096011377,0.0419434210001408,2.93584369610556e-10,3.39546633697364e-07,"RBM39","20:35701347-35742312","-","protein_coding"
"ENSG00000110172",2802.72292670583,-0.353388018473635,0.0625267560187043,7.62142130977071e-10,7.93313744134034e-07,"CHORDC1","11:90200429-90223077","-","protein_coding"
"ENSG00000235173",1406.68619532006,0.406858774466778,0.0733621225966346,1.38609743994643e-09,1.31162620476385e-06,"HGH1","8:144137774-144140851","+","protein_coding"
"ENSG00000185246",787.152675807097,-0.475950055361151,0.0868646291513282,1.95016234861196e-09,1.69160332389182e-06,"PRPF39","14:45084099-45116282","+","protein_coding"
"ENSG00000205609",3133.68606846193,-0.245337091059181,0.0464263726580167,6.65926171757614e-09,5.33201963217308e-06,"EIF3CL","16:28379579-28403879","-","protein_coding"
"ENSG00000108846",6010.41719066767,0.21006235293994,0.039777011389765,7.36897425176169e-09,5.47883235618481e-06,"ABCC3","17:50634777-50692253","+","protein_coding"
"ENSG00000100650",2694.06280291171,0.264486514405618,0.0515283670253585,1.45466111747832e-08,1.00943783812212e-05,"SRSF5","14:69726900-69772005","+","protein_coding"
"ENSG00000127804",3257.12136767926,-0.273543807483446,0.05541288262437,3.969332230176e-08,2.48835892658277e-05,"METTL16","17:2405562-2511891","-","protein_coding"
"ENSG00000184445",1435.47610283238,0.351862551650279,0.0715562514764075,4.06399286693314e-08,2.48835892658277e-05,"KNTC1","12:122527246-122626396","+","protein_coding"
"ENSG00000163257",425.175100928017,0.647584219946989,0.133270630527974,5.0680568455456e-08,2.93074465029356e-05,"DCAF16","4:17800655-17810758","-","protein_coding"
"ENSG00000115657",811.614936351029,0.395423904359067,0.0815016934608231,5.57090875435361e-08,3.05197838021404e-05,"ABCB6","2:219209772-219218994","-","protein_coding"
"ENSG00000072210",8979.53353690855,-0.18741424073227,0.0383769926106725,6.07982323742702e-08,3.16424400391889e-05,"ALDH3A2","17:19648136-19677598","+","protein_coding"
"ENSG00000115875",4980.88902313242,-0.210624376866496,0.0440170080797815,9.99122075902145e-08,4.95231508955497e-05,"SRSF7","2:38743599-38751494","-","protein_coding"
"ENSG00000113161",2285.724436952,-0.257115436794643,0.0550828980032963,1.54940190822131e-07,7.33078384667075e-05,"HMGCR","5:75336329-75362101","+","protein_coding"
"ENSG00000278259",2797.00290077083,0.221441418244522,0.0491776044304336,3.57565507433119e-07,0.000161821711603102,"MYO19","17:36495633-36543435","-","protein_coding"
"ENSG00000100201",7110.6015875915,0.167899045670356,0.038210053594113,7.02962784329819e-07,0.000304880817587045,"DDX17","22:38483438-38507660","-","protein_coding"
"ENSG00000145833",5817.37739900378,-0.183846462436591,0.0424002461329059,7.7596664601105e-07,0.000323081472733161,"DDX46","5:134758771-134855133","+","protein_coding"
"ENSG00000280987",997.560972702174,0.458982140907675,0.109913655472683,1.25024282119966e-06,0.000500529904841049,"MATR3","5:139273752-139331671","+","protein_coding"
"ENSG00000131652",703.213521191709,0.380870862766745,0.0915153515320603,1.36978709641156e-06,0.000528078292094367,"THOC6","16:3024027-3027755","+","protein_coding"
"ENSG00000154358",882.84531567588,0.455162782437676,0.109902590769556,1.44248880685088e-06,0.000536245213946815,"OBSCN","1:228208063-228378876","+","protein_coding"
"ENSG00000244462",3920.97756533239,0.206533663812114,0.0502438765289203,2.10905970202136e-06,0.000731773414611345,"RBM12","20:35648925-35664956","-","protein_coding"
"ENSG00000278619",388.125449013819,0.528324374249329,0.130429466869427,2.09073968184393e-06,0.000731773414611345,"MRM1","17:36601583-36608964","+","protein_coding"
"ENSG00000171848",8387.99880755737,0.169591297348807,0.042032752225941,3.41804399844954e-06,0.0011476909670923,"RRM2","2:10120698-10211725","+","protein_coding"
"ENSG00000196576",4723.23840231701,0.194887860226988,0.0492982961093076,4.20855608468918e-06,0.0013689643839228,"PLXNB2","22:50274979-50307646","-","protein_coding"
"ENSG00000115738",3708.92357751993,-0.222507846828415,0.057624025264255,5.58258766985894e-06,0.00161414319598783,"ID2","2:8678845-8684461","+","protein_coding"
"ENSG00000134294",9727.14027378783,-0.173697229670934,0.0444887552684413,5.5087276019812e-06,0.00161414319598783,"SLC38A2","12:46358188-46372773","-","protein_coding"
"ENSG00000151835",2594.57419107067,0.224063461051276,0.0579391853830181,5.46401769779545e-06,0.00161414319598783,"SACS","13:23328826-23433740","-","protein_coding"
"ENSG00000167615",2787.77445196021,0.265974049254153,0.0689543861182732,5.35535201740245e-06,0.00161414319598783,"LENG8","19:54448887-54462037","+","protein_coding"
"ENSG00000141696",1378.14112189868,0.275841724326311,0.073196080129325,7.43642750132222e-06,0.0020920479421963,"P3H4","17:41801947-41812604","-","protein_coding"
"ENSG00000141510",2586.53617208365,-0.227024597735211,0.060584706937677,8.49750740953218e-06,0.0023276461743637,"TP53","17:7661779-7687550","-","protein_coding"
"ENSG00000149182",1044.04693631914,0.29603572293572,0.0797986961106319,9.13029639692686e-06,0.00243685269732338,"ARFGAP2","11:47164299-47177125","-","protein_coding"
"ENSG00000214717",2347.29212063433,0.216832006818914,0.0580290221384224,9.51219939720581e-06,0.00247531208813788,"ZBED1","X:2486414-2500976","-","protein_coding"
"ENSG00000140525",4305.40025288109,0.172079288700534,0.046215930831197,1.14637237947728e-05,0.00291038782877536,"FANCI","15:89243949-89317261","+","protein_coding"
