"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","GeneSymbol","Chromosome","Strand","Class"
"ENSG00000102554",1151.18282401631,0.490814725744062,0.0699516445042931,1.04980566387667e-13,1.45167127200866e-09,"KLF5","13:73054976-73077541","+","protein_coding"
"ENSG00000225614",1779.25796943602,-0.435943571002885,0.0635091532545106,3.01856013064874e-13,2.08703247433054e-09,"ZNF469","16:88382989-88440757","+","protein_coding"
"ENSG00000087074",1882.30580014688,0.47593660459728,0.0728127584687186,2.84201437492965e-12,1.30997915921757e-08,"PPP1R15A","19:48872421-48876058","+","protein_coding"
"ENSG00000168209",4375.5708945067,-0.350623895051149,0.0547821522657369,6.99217880464906e-12,1.93375697021374e-08,"DDIT4","10:72273924-72276036","+","protein_coding"
"ENSG00000171223",1535.26738221264,-0.43658732844845,0.0679065878661304,5.74094312068052e-12,1.93375697021374e-08,"JUNB","19:12791486-12793315","+","protein_coding"
"ENSG00000180530",2230.43748469134,0.429457497885202,0.0676493613533296,9.8078727865177e-12,2.26038774819945e-08,"NRIP1","21:14961235-15065936","-","protein_coding"
"ENSG00000107984",6399.82464848229,0.287927746227233,0.0464553846279828,2.58459107099025e-11,5.10567504709331e-08,"DKK1","10:52314281-52318042","+","protein_coding"
"ENSG00000177606",1749.16318853994,-0.35264347418652,0.0600475014987591,1.88526808008733e-10,3.25868587643096e-07,"JUN","1:58780788-58784327","-","protein_coding"
"ENSG00000116285",4075.36100224316,0.286554456562434,0.0500258706353941,4.57134694695415e-10,7.02362062027577e-07,"ERRFI1","1:8004404-8026309","-","protein_coding"
"ENSG00000164442",398.955923820474,0.782660104034976,0.14106575660993,1.24365567937765e-09,1.71972707344341e-06,"CITED2","6:139371807-139374648","-","protein_coding"
"ENSG00000134294",10461.1837807919,0.240269587251955,0.045018864696777,4.3798867859147e-09,5.0470895396357e-06,"SLC38A2","12:46358188-46372773","-","protein_coding"
"ENSG00000244879",1141.05213357762,0.396449500993104,0.0744332062164824,4.34510826547767e-09,5.0470895396357e-06,"GABPB1-AS1","15:50354959-50372202","+","lncRNA"
