baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id
80.90409366,0.160014104,0.335319863,0.477198406,0.633220846,1,ENSG00000000003.14
0.15560369,1.850575528,7.046626426,0.262618651,0.792844523,1,ENSG00000000005.5
30.78648505,-0.498081432,0.523563524,-0.951329512,0.34143713,1,ENSG00000000419.12
106.2792735,-0.194910715,0.291008913,-0.669775757,0.50300075,1,ENSG00000000457.13
55.17749468,0.210128615,0.38528884,0.545379449,0.585492572,1,ENSG00000000460.16
0.385206901,-2.229278879,5.327604235,-0.41843928,0.675625973,1,ENSG00000000938.12
6.547197375,0.341641256,1.223158911,0.279310606,0.780006468,1,ENSG00000000971.15
104.4058578,0.044019417,0.280349011,0.157016489,0.875231853,1,ENSG00000001036.13
487.0675947,-0.22105611,0.157814859,-1.400730654,0.161294632,1,ENSG00000001084.12
42.31004373,0.091569178,0.442112016,0.207117597,0.83591802,1,ENSG00000001167.14
71.27605181,-0.009868586,0.343312128,-0.02874523,0.977067783,1,ENSG00000001460.17
46.29958709,-0.078569414,0.461355489,-0.170301244,0.864773233,1,ENSG00000001461.16
199.0726761,-0.059022158,0.228137497,-0.258713094,0.795856616,1,ENSG00000001497.16
3.237148028,2.408826979,1.942080958,1.240332937,0.214852275,1,ENSG00000001561.6
47.62452858,-0.117300268,0.422915557,-0.277360968,0.781502949,1,ENSG00000001617.11
2.330367461,-0.782944868,1.820961878,-0.429962251,0.667223101,1,ENSG00000001626.15
143.2075592,-0.12326086,0.271588453,-0.453851621,0.649935626,1,ENSG00000001629.9
121.8763477,0.082109073,0.274584597,0.299030148,0.764917042,1,ENSG00000001630.16
131.0419059,0.248623285,0.27251952,0.912313675,0.361603618,1,ENSG00000001631.15
349.3890423,-0.088878189,0.176944445,-0.502294317,0.615460506,1,ENSG00000002016.17
36.52018164,-0.47721608,0.52310475,-0.912276325,0.361623274,1,ENSG00000002079.14
273.655742,0.045496876,0.219231546,0.207528876,0.835596844,1,ENSG00000002330.13
41.78663551,0.445656026,0.456269303,0.976739007,0.328698378,1,ENSG00000002549.12
221.7802079,-0.200201042,0.220775438,-0.906808491,0.364508079,1,ENSG00000002586.19
0,NA,NA,NA,NA,NA,ENSG00000002586.19_PAR_Y
91.14751898,0.346728769,0.315951155,1.09741257,0.272461081,1,ENSG00000002587.9
1.98929292,0.369464619,2.088032572,0.176943896,0.859552458,1,ENSG00000002726.20
6.833951716,-1.073270376,1.221617359,-0.8785651,0.379637126,1,ENSG00000002745.12
198.1546204,0.142497674,0.214452141,0.664473078,0.506387574,1,ENSG00000002746.14
248.0267589,0.056618169,0.212665529,0.26623106,0.790061263,1,ENSG00000002822.15
652.990004,0.072273875,0.149468874,0.483537966,0.628713809,1,ENSG00000002834.17
