"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","GeneSymbol","Chromosome","Strand","Class"
"ENSG00000134186",1419.0037203651,0.521394802836924,0.0691654285717247,2.29304090786428e-15,2.22310316017442e-11,"PRPF38B","1:108692310-108702928","+","protein_coding"
"ENSG00000117360",2068.34751334553,0.424893518082531,0.0594587479891964,4.4716591835939e-14,1.76883535466744e-10,"PRPF3","1:150321479-150353233","+","protein_coding"
"ENSG00000235173",1465.78122103941,-0.507704742374165,0.0713663899253079,5.47344617225612e-14,1.76883535466744e-10,"HGH1","8:144137774-144140851","+","protein_coding"
"ENSG00000132485",927.500155043705,-0.561478134263292,0.0824211242026297,4.56187506599436e-13,1.10568446912038e-09,"ZRANB2","1:71063291-71081289","-","protein_coding"
"ENSG00000131051",6424.62049520914,0.321865176200407,0.0477966516810377,8.48196346340336e-13,1.64465271555391e-09,"RBM39","20:35701347-35742312","-","protein_coding"
"ENSG00000137504",2851.29735324984,0.385127539944485,0.057590684067502,1.12088507126638e-12,1.81116346098792e-09,"CREBZF","11:85659708-85682908","-","protein_coding"
"ENSG00000112739",3061.24788854084,0.33803987209827,0.0539841633203475,1.94127244473411e-11,2.68866233595674e-08,"PRPF4B","6:4021267-4064983","+","protein_coding"
"ENSG00000115875",4904.39224896485,0.270574237079668,0.0463074539676973,2.80958652717151e-10,3.40486767261598e-07,"SRSF7","2:38743599-38751494","-","protein_coding"
"ENSG00000177731",7225.65897027334,-0.258110741433911,0.0457534287307037,9.0400171657308e-10,9.73810738019556e-07,"FLII","17:18244815-18258738","-","protein_coding"
"ENSG00000185246",782.036455948399,0.511759914562569,0.0933978751142642,1.91253881878698e-09,1.85420638481398e-06,"PRPF39","14:45084099-45116282","+","protein_coding"
"ENSG00000163257",426.444121771033,-0.653608635300221,0.12122609388539,3.00683553006864e-09,2.65011549672868e-06,"DCAF16","4:17800655-17810758","-","protein_coding"
"ENSG00000133226",2802.06033349941,0.278280595749347,0.05461464454109,1.79517106744016e-08,1.4503486249027e-05,"SRRM1","1:24631716-24673281","+","protein_coding"
"ENSG00000141696",1407.94173170658,-0.334010049259249,0.0680300544952707,4.49922490915586e-08,3.35538349955893e-05,"P3H4","17:41801947-41812604","-","protein_coding"
"ENSG00000101057",3806.53140002496,-0.241406841079054,0.0496131719931679,6.24172683287516e-08,4.32239583176605e-05,"MYBL2","20:43667019-43716495","+","protein_coding"
"ENSG00000141569",1404.80657529374,-0.317515889252932,0.0660585786117965,7.520831404765e-08,4.86096403127978e-05,"TRIM65","17:75880335-75896951","-","protein_coding"
"ENSG00000244462",3956.61320678811,-0.226765090901002,0.047237673306592,8.71168712269432e-08,5.27873791590759e-05,"RBM12","20:35648925-35664956","-","protein_coding"
"ENSG00000010244",7509.54497040748,0.19523496049633,0.0407960418505853,1.06327349211641e-07,6.06378618004037e-05,"ZNF207","17:32350117-32381886","+","protein_coding"
"ENSG00000196943",1971.3954922456,0.274786419873492,0.0583938144591363,1.27704244684939e-07,6.87829251233603e-05,"NOP9","14:24299850-24309124","+","protein_coding"
"ENSG00000049239",948.33760410946,-0.370010632957027,0.0828279560709543,3.56280294105571e-07,0.000181796707965974,"H6PD","1:9234775-9271337","+","protein_coding"
"ENSG00000162073",1170.47564185618,-0.357690821504371,0.0819040997685607,5.54928295981954e-07,0.000269001491477252,"PAQR4","16:2969245-2973489","+","protein_coding"
"ENSG00000072210",9013.97068485183,0.1811063013325,0.0415247680689189,8.03178997871523e-07,0.000363164629502284,"ALDH3A2","17:19648136-19677598","+","protein_coding"
"ENSG00000241468",2897.506614049,0.245110790411405,0.0568257626818303,8.24097147916478e-07,0.000363164629502284,"ATP5MF","7:99448475-99466331","-","protein_coding"
"ENSG00000029363",5960.99637097492,0.192953926283765,0.0450202163351614,1.05925646091681e-06,0.000446499625590803,"BCLAF1","6:136256627-136289851","-","protein_coding"
"ENSG00000119953",1209.67522886564,0.317337586184098,0.07525554820341,1.1435487800185e-06,0.000461946059261641,"SMNDC1","10:110290730-110304951","-","protein_coding"
"ENSG00000214717",2383.59567480378,-0.251441519847631,0.0605537082443466,1.64163734378962e-06,0.000636626961921614,"ZBED1","X:2486414-2500976","-","protein_coding"
"ENSG00000184634",970.445681991206,-0.33092413191651,0.0806723163096472,1.8184642842598e-06,0.000678077355226874,"MED12","X:71118556-71142454","+","protein_coding"
"ENSG00000244879",910.754847357473,-0.391045865488736,0.0973119251534399,2.45893676327281e-06,0.000882940441478885,"GABPB1-AS1","15:50354959-50372202","+","lncRNA"
"ENSG00000250264",386.841441185981,0.595870393832478,0.150768164527342,3.05146206610116e-06,0.00105656874038753,"AL669918.1","6:32813767-32838822","-","protein_coding"
"ENSG00000111605",2537.09077614777,-0.211908627627611,0.0529845950746097,3.5513526404675e-06,0.00114767879497775,"CPSF6","12:69239569-69274358","+","protein_coding"
"ENSG00000174231",23968.8654639531,0.15407169186846,0.0378918812662748,3.48502890071815e-06,0.00114767879497775,"PRPF8","17:1650629-1684867","-","protein_coding"
"ENSG00000122257",2199.10966639035,-0.228481361960281,0.0575132444782032,3.68930556795774e-06,0.00115380056391453,"RBBP6","16:24537693-24572863","+","protein_coding"
"ENSG00000172780",244.159338059486,0.695459475453748,0.179533121412566,4.13616677504515e-06,0.00125312927762696,"RAB43","3:129087569-129122801","-","protein_coding"
"ENSG00000223768",600.195616995937,-0.393312875681866,0.102089788837243,4.92361238502434e-06,0.00144649763857003,"LINC00205","21:45288050-45297806","+","lncRNA"
